Tube ID,Easting,Northing,Z,Area,Date,Veg,GWL,SM,VVI,VARI,NDTI,RI,SCI,BI,SI,HI,TGI,GLI,NGRDI,GRVI,GLAI,HUE,CI,SAT,SHP,ERGBVE,ExG,NDI,NDVI,PlnCurv,ProfCurv,RGI,Slope,Temperature,TPI,TRI1,TRI4,TWI,VDVI,VRM1,VRM4,WEI
54,-831813408,-1150136357,1096131,LP,7/1/2019,Ts,14.5,7.6,0.008243083,0.016949153,-0.012765957,0.000137672,-0.012765957,96.14745451,0.333333343,0.901639344,3765,0.155339807,0.012765957,0.012765957,1.673728824,-1.566697989,0.5,0.512605042,-2,1.117882,0.551724,129.634048,0.2643,-23.570227,-0.203448,0.97479,0.002877,18.42565,0,0.001988,0.001442,1.242821,0.15534,8.00E-06,0.001418,0.985518
55,-831795664,-1150141122,1096324,LP,7/1/2019,Ts,11.6,12.75,0.004885198,-0.067307692,0.04964539,0.00012302,0.04964539,115.4816003,0.333333343,1.466666667,3110,0.093877554,-0.04964539,-0.04964539,-0.432692289,-1.566560241,0.5,0.5,-2,0.761163,0.310811,121.645393,0.243613,3.237386,-2.305647,1.104478,0.043891,18.24085,-0.000732,0.002242,0.005538,-0.588618,0.093878,0.001167,0.003576,0.983547
56,-831780479,-1150151453,1097343,LP,7/1/2019,Ts,20.2,6.8,0.00628824,0.025510204,-0.019157088,0.00010714,-0.019157088,106.7754653,0.326424867,0.852941176,4255,0.15904139,0.019157088,0.019157087,1.887755156,-1.567592556,0.4921875,0.511278195,-2.058823529,1.120623,0.565891,130.433456,0.388638,19.10355,6.097039,0.962687,0.132948,19.3102,0.002808,0.001208,0.008801,-4.274775,0.157667,0.003281,0.003451,0.972388
57,-831798771,-1150164595,1096609,LP,7/1/2019,Ts,15.7,10.7,0.003066538,-0.068292683,0.045454545,7.92E-05,0.045454545,126.1427762,0.219696969,1.636363636,2150,0.053763442,-0.045454545,-0.045454547,-0.457317114,-1.566902067,0.360248447,0.360248447,-4.045454545,0.434339,0.198758,122.614883,0.268398,0.612784,-2.783989,1.087838,0.212414,18.25745,-0.000977,0.002805,0.007952,-2.947941,0.057143,0.001423,0.004372,0.953821
58,-831818219,-1150153783,1095558,LP,7/1/2019,Ts,17.1,7.15,0.006158896,0,0,0.000119904,0,113.6691119,0.396984935,1,4740,0.165618449,0,0,1.25,-1.567579038,0.568345324,0.568345324,-1.518987342,1.247164,0.568345,128,0.273414,1.959566,3.888326,1,0.075162,18.250151,0.001343,0.001096,0.007028,-2.664794,0.165618,0.001441,0.00371,0.977805
59,-831840691,-1150149126,1094985,LP,7/1/2019,Ts,15.3,4.11,0.003757322,-0.070484581,0.051612903,0.000100773,0.051612903,126.9435583,0.32520324,1.5,3280,0.088888891,-0.051612903,-0.051612902,-0.512114525,-1.567239905,0.490797546,0.490797546,-2.09375,0.72241,0.294479,121.393547,0.339286,44.444443,0.135626,1.108844,0.006103,18.910151,0.000122,0.005357,0.003569,2.069368,0.088889,9.00E-06,0.003497,0.951059
60,-831847123,-1150174533,1096396,LP,7/1/2019,Ts,10.5,4.27,0.003878694,0.079646018,-0.058441558,5.92E-05,-0.058441558,126.1718392,0.277533054,0.555555556,5490,0.179023504,0.058441558,0.058441557,3.241150379,-1.568913613,0.434482759,0.496932515,-2.469135802,1.19908,0.682759,135.480515,0.349219,-33.333332,0,0.889571,0.008138,18.6658,-0.000122,0.004884,0.00514,1.955416,0.179024,0.000162,0.005464,0.976237
61,-831829856,-1150181452,1094.87,LP,7/1/2019,Ts,12,8.8,0.003091189,0.051792829,-0.038348083,5.54E-05,-0.038348083,138.709531,0.29880479,0.704545455,5735,0.167495847,0.038348083,0.038348082,2.544820786,-1.569080532,0.460122699,0.5,-2.295454545,1.152933,0.619632,132.908554,0.44086,-9.235447,0.011113,0.926136,0.015889,18.2486,-0.000122,0.003091,0.002299,0.262276,0.167496,3.00E-06,0.002462,0.970177
62,-831810097,-1150188376,1094895,LP,7/1/2019,Ts,17.5,10.15,0.003059423,-0.011583012,0.008695652,7.04E-05,0.008695652,141.0543654,0.338461548,1.070588235,4995,0.136212617,-0.008695652,-0.008695652,0.960424721,-1.568634743,0.505747126,0.505747126,-1.952941176,1.006719,0.468571,126.893372,0.171975,13.606359,-2.694845,1.017442,0.154203,18.2721,-0.000244,0.001221,0.005757,-3.248512,0.135314,0.001888,0.004632,0.97192
63,-831822332,-1150109037,1093174,LP,7/1/2019,Ts,39.8,0,0.006552693,0.162162162,-0.119047619,6.56E-05,-0.119047619,103.8203592,0.247191012,0.189189189,5490,0.226086959,0.119047619,0.119047619,5.30405426,-1.568671783,0.396396396,0.524822695,-2.621621622,1.431069,0.936937,143.238098,0.261344,-10.945232,-0.668068,0.787234,0.238631,18.4324,-0.000854,0.003434,0.011594,-5.1384,0.226087,0.001311,0.004352,0.969704
